(cur prev) 00:03, 10 April 2019 . . Arunkumar (talk | contribs) edited the description . . (+883)‎ undo
(cur prev	topic) 04:44, 8 April 2019 . . Joycz (talk | contribs) commented on "quiz question 2" (matplotlib is used to plot latitude longitude position on maps. this should be true why is it marked incorrect?) . . (+111)‎ hidedelete
(cur prev	topic) 18:45, 5 April 2019 . . Tinu Iype Jacob (talk | contribs) commented on "Question 8 of Quiz assignment 7" (please provide a genuine answer for my querry) . . (+45)‎ hidedelete
(cur prev) 11:49, 29 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+302)‎ undo
(cur prev	topic) 09:23, 26 March 2019 . . AI (talk | contribs) commented on "Assignment 3 week8" (Yes. i did try for the input "your... " and it is not working. I think we will have to reverse the string as suggested by @Kamalakar I sh...) . . (+161)‎ hidedelete
(cur prev	topic) 17:38, 25 March 2019 . . Kousarattar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (yes) . . (+3)‎ hidedelete
(cur prev	topic) 13:05, 25 March 2019 . . Joycz (talk | contribs) commented on "quiz question 1" (State True or False. matplotlib is used to plot latitude longitude position on maps. True this should be true why its gone wrong?) . . (+131)‎ hidedelete
(cur prev	topic) 10:35, 25 March 2019 . . Divya98 (talk | contribs) commented on "Assignment 3 week8" (This happens with me too.May be your code giving you the desired output for all the test cases. but it might be possible that your logic...) . . (+171)‎ hidedelete
(cur prev	topic) 07:36, 25 March 2019 . . Som (talk | contribs) commented on "Assignment 3 week8" (Have you tried for this input 'your article is in queue' ?) . . (+58)‎ hidedelete
(cur prev	topic) 05:21, 25 March 2019 . . AI (talk | contribs) commented on "Assignment 3 week8" (Hello. Was working on 3rd programming assignment of week 8 and my code is passing all the tests shown but when I submit the code it give...) . . (+429)‎ hidedelete
(cur prev	topic) 12:56, 23 March 2019 . . Kamalakar (talk | contribs) commented on "i always hate maths" (This generation of youth is blessed with youtube and forums,smart phone, if they ask right and enough questions they could get answers to...) . . (+427)‎ hidedelete
(cur prev	topic) 12:08, 23 March 2019 . . Arunkumar (talk | contribs) commented on "i always hate maths" (Yes, Practice and poking the programs is how, you will learn. See, what is happening when you are removing parts of code and run the prog...) . . (+210)‎ hidedelete
(cur prev	topic) 10:25, 23 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (haha :) intelligent im just a noobie :P PRACTICE IS THE KEY) . . (+62)‎ hidedelete
(cur prev	topic) 14:15, 22 March 2019 . . Kamalakar (talk | contribs) commented on "i always hate maths" (If i can do it, you will also be able to do it with little practice) . . (+67)‎ hidedelete
(cur prev	topic) 14:14, 22 March 2019 . . Kamalakar (talk | contribs) edited a comment on "i always hate maths" . . (+31)‎ hidedelete
(cur prev	topic) 14:14, 22 March 2019 . . Kamalakar (talk | contribs) edited a comment on "i always hate maths" . . (+1)‎ hidedelete
(cur prev	topic) 14:13, 22 March 2019 . . Kamalakar (talk | contribs) commented on "i always hate maths" (@ Jai Prince it is tough as long as you dont print statements to see what is happening. if i is the index of the outer loop and j is the...) . . (+400)‎ hidedelete
(cur prev	topic) 14:00, 22 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (tracing nested loops is tough :D) . . (+32)‎ hidedelete
(cur prev	topic) 13:56, 22 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (well im following that :) thank u line by line) . . (+48)‎ hidedelete
(cur prev	topic) 18:58, 21 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (-11)‎ hidedelete
(cur prev	topic) 18:55, 21 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (-1)‎ hidedelete
(cur prev	topic) 18:53, 21 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+1)‎ hidedelete
(cur prev	topic) 18:52, 21 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+43)‎ hidedelete
(cur prev	topic) 18:51, 21 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+29)‎ hidedelete
(cur prev	topic) 18:48, 21 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (Friend @Kamalakar, Swapping of variable is fine in their program. Because.. In function def isBinaryMatrix(m,n,mat):, they treated m a...) . . (+383)‎ hidedelete
(cur prev	topic) 18:10, 21 March 2019 . . Arunkumar (talk | contribs) changed the topic title from "All Assignments answers week7. Friends share you programs too." to "All Assignments answers week7. Friends share you programs too please." . . (+7)‎ resolve hidedelete
(cur prev	topic) 18:06, 21 March 2019 . . Arunkumar (talk | contribs) commented on "All Assignments answers week7. Friends share you programs too please." (Note: Hello friends please share your programs too, if you have a better code or different approach than these programs. Everyone, who st...) . . (+1,296)‎ hidedelete
(cur prev	topic) 17:39, 21 March 2019 . . Arunkumar (talk | contribs) commented on "binary matrix" (Why are you taking input twice. Correct your code. Your a logic is always printing YES, Check it. change your if condition... row,col=...) . . (+435)‎ hidedelete
(cur prev	topic) 16:34, 21 March 2019 . . Sayantoni Chaudhuri (talk | contribs) commented on "binary matrix" (2 cases passed out of 3 even though the code works correctly in Spyder Anybody? row,col=map(int,input().split()) matrix=[[col for col in...) . . (+542)‎ hidedelete
(cur prev	topic) 16:26, 21 March 2019 . . Msd7at (talk | contribs) commented on "Question no. 2 week 7" (yes,i think true is the correct answer.) . . (+39)‎ hidedelete
(cur prev	topic) 16:25, 21 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (sorry, I missed your question. Is it solved?) . . (+44)‎ hidedelete
(cur prev	topic) 15:49, 21 March 2019 . . Sayantoni Chaudhuri (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (@Naveena418, this should work n=int(input()) m=[[col for col in list(map(int,input().split()))] for r in range(n)] for i in range(n):...) . . (+343)‎ hidedelete
(cur prev	topic) 12:31, 21 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Question no. 2 week 7" . . (+16)‎ hidedelete
(cur prev	topic) 12:30, 21 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Question no. 2 week 7" . . (+147)‎ hidedelete
(cur prev	topic) 12:29, 21 March 2019 . . Kamalakar (talk | contribs) commented on "Question 8 of Quiz assignment 7" (This is like the lottery simulation problem mentioned in week 8. where they mentioned the no of trails as for week=7,month=30 or year=365) . . (+137)‎ hidedelete
(cur prev	topic) 12:27, 21 March 2019 . . Kamalakar (talk | contribs) commented on "Question 8 of Quiz assignment 7" (They have not mentioned about the no of iterations to make a judgement on minimum number of dice throws. IF the minimum number of dice th...) . . (+406)‎ hidedelete
(cur prev	topic) 12:23, 21 March 2019 . . Kamalakar (talk | contribs) commented on "Question no. 2 week 7" (Google search shows gmplot is a matplotlib-like interface to generate the HTML.) . . (+80)‎ hidedelete
(cur prev	topic) 09:24, 21 March 2019 . . Gourav (talk | contribs) commented on "Question 8 of Quiz assignment 7" (@Descentis please provide a solution for this question as well as Ques. 2 of week 7) . . (+83)‎ hidedelete
(cur prev	topic) 08:27, 21 March 2019 . . Tinu Iype Jacob (talk | contribs) restored a comment on "Question 8 of Quiz assignment 7" (undo delete) . . (+288)‎ hidedelete
(cur prev	topic) 08:27, 21 March 2019 . . Tinu Iype Jacob (talk | contribs) commented on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (the minimum number of moves is less than 30 anyway. what ever the snake and ladder positions are. But the answer says can't say. How is t...) . . (+153)‎ hidedelete
(cur prev	topic) 08:25, 21 March 2019 . . Tinu Iype Jacob (talk | contribs) deleted a comment on "Question 8 of Quiz assignment 7" (its already there) . . (-288)‎ 
(cur prev	topic) 08:24, 21 March 2019 . . Tinu Iype Jacob (talk | contribs) commented on "Question 8 of Quiz assignment 7" (What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game? 1.100 2.less than 30 3.more than 30 4.can't...) . . (+288)‎ hidedelete
(cur prev	topic) 07:58, 21 March 2019 . . Anandvihar (talk | contribs) commented on "Question no. 2 week 7" (yes ans is true) . . (+15)‎ hidedelete
(cur prev	topic) 07:13, 21 March 2019 . . Puneet Patel (talk | contribs) commented on "Binary Matrix" (I solved these using logic of flag flag=0 for i in range(r): for j in range(c): # set flag if accessed element is not bin...) . . (+255)‎ hidedelete
(cur prev	topic) 00:40, 21 March 2019 . . Subhamohan (talk | contribs) commented on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (Yes, minimum number of throws required to reach 100 is definitely less-than 30. For the given board positions in the lecture if the seque...) . . (+381)‎ hidedelete
(cur prev	topic) 00:06, 21 March 2019 . . Subhamohan (talk | contribs) commented on "Question no. 2 week 7" (Yes, the answer for this question must be true. In the video instructor talked about gmplot. As gmplot is a matplotlib, the answer must b...) . . (+144)‎ hidedelete
(cur prev	topic) 18:07, 20 March 2019 . . Gourav (talk | contribs) commented on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (Yes the less than 30 times seems to be a more suitable answer.) . . (+62)‎ hidedelete
(cur prev	topic) 18:06, 20 March 2019 . . Gourav (talk | contribs) commented on "Question no. 2 week 7" (gmplot is required when longitude and latitude co-ordinates are to be inputted in google maps. But the question is "matplotlib is used to...) . . (+375)‎ hidedelete
(cur prev	topic) 15:24, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (I have simulated the game for 5 times,10 times etc. when it is for 5 times, the minimum number is variable but when we play it for 10 tim...) . . (+244)‎ hidedelete
(cur prev	topic) 15:14, 20 March 2019 . . Madmax (talk | contribs) deleted a comment on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (My mistake in multiplication ) . . (-360)‎ undelete
(cur prev	topic) 14:54, 20 March 2019 . . Madmax (talk | contribs) commented on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (Less than 30 i guess! As by using the ladder we could reach 100 quickly without need for 30 throws if snakes and ladders are neglected w...) . . (+360)‎ 
(cur prev	topic) 13:58, 20 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Problem 1 printing question" . . (-1)‎ hidedelete
(cur prev	topic) 13:56, 20 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Problem 1 printing question" . . (+17)‎ hidedelete
(cur prev	topic) 13:55, 20 March 2019 . . Arunkumar (talk | contribs) commented on "Problem 1 printing question" (You are welcome. :)) . . (+19)‎ hidedelete
(cur prev	topic) 13:51, 20 March 2019 . . Lwardell (talk | contribs) commented on "Problem 1 printing question" (Arunkumar, thank you. Those 8 different output statements were very helpful. Lauri) . . (+82)‎ hidedelete
(cur prev	topic) 11:12, 20 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Request! please explain Symmetric matrix" . . (0)‎ hidedelete
(cur prev	topic) 11:11, 20 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Request! please explain Symmetric matrix" . . (0)‎ hidedelete
(cur prev	topic) 11:09, 20 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Request! please explain Symmetric matrix" . . (-6)‎ hidedelete
(cur prev	topic) 11:08, 20 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Request! please explain Symmetric matrix" . . (+1)‎ hidedelete
(cur prev	topic) 11:08, 20 March 2019 . . Arunkumar (talk | contribs) commented on "Request! please explain Symmetric matrix" (Hint for Assignment 2 Can you print me this if i give you a number if m=4, I want 1,0 2,0 2,1 3,0 3,1 3,2 if m=2, I want 1,0 if m=7...) . . (+342)‎ hidedelete
(cur prev	topic) 10:58, 20 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Request! please explain Symmetric matrix" . . (+42)‎ hidedelete
